Channel Name,Subscriber Count,Total Videos,Channel Age,Total Views,Total Minutes,Subs/Age,Views/Video,Views/Sub,Videos/Age,Subs/Video,Z Subs/Age,Z Views/Vid,Z Views/Sub,Z Vid/Age,Z Subs/Vid,Likes,Comments,likes/min,com/min,likes/views,min/age,com/views,Views/Age,subs/min,Z Subs/Min
Sean Dollwet,367000,610,80,15711270,6840,4587.5,25756.18033,42.81,7.625,601.6393443,2.779350604,2.623710346,0.771190823,0.87564336,2.426658489,595496,36515,87.06081871,5.338450292,0.037902474,85.5,0.002324128,196390.875,53.65497076,2.528560785
Self Publishing Empire,31800,180,31,1423008,1770,1025.806452,7905.6,44.74867925,5.806451613,176.6666667,0.013546474,0.080680172,1.050954765,0.162105711,-0.102026928,145052,21355,81.95028249,12.06497175,0.101933369,57.09677419,0.015006943,45903.48387,17.96610169,0.133664884
The Home Boss,69900,389,69,3288445,5703,1013.043478,8453.586118,47.04499285,5.637681159,179.6915167,0.003635491,0.158747395,1.382327656,0.095885822,-0.084028373,15543,3272,2.72540768,0.573733123,0.00472655,82.65217391,0.000994999,47658.62319,12.256707,-0.249463142
Ken Fornari,18900,98,24,638934,1187,787.5,6519.734694,33.80603175,4.083333333,192.8571429,-0.171508461,-0.116753033,-0.528139976,-0.513988351,-0.005689862,26162,3227,22.04043808,2.718618366,0.040946326,49.45833333,0.0050506,26622.25,15.92249368,-0.003471107
Renee Clancy,11400,116,17,367453,1162,670.5882353,3167.698276,32.2327193,6.823529412,98.27586207,-0.26229534,-0.594290996,-0.755179128,0.56117307,-0.56847029,16305,1713,14.03184165,1.474182444,0.044373022,68.35294118,0.004661821,21614.88235,9.810671256,-0.413603982
Barry KDP,12300,103,21,519603,1843,585.7142857,5044.68932,42.24414634,4.904761905,119.4174757,-0.328203514,-0.326891013,0.689534484,-0.191687215,-0.442672814,24190,5707,13.12533912,3.09658166,0.046554774,87.76190476,0.010983385,24743,6.673901248,-0.624096436
Samazonkdp,15500,122,32,541348,1794,484.375,4437.278689,34.92567742,3.8125,127.0491803,-0.406897712,-0.413423974,-0.36656787,-0.620254305,-0.397262412,12860,1526,7.168338907,0.850613155,0.023755514,56.0625,0.002818889,16917.125,8.639910814,-0.492167676
Self Publishing Titans,20200,58,44,523023,767,459.0909091,9017.637931,25.89222772,1.318181818,348.2758621,-0.426531867,0.239103369,-1.670153032,-1.598941451,0.919087352,19313,2315,25.17992177,3.018252934,0.036925718,17.43181818,0.004426192,11886.88636,26.33637549,0.69535078
Peter Holmquist,11000,150,44,336979,2577,250,2246.526667,30.63445455,3.409090909,73.33333333,-0.58889971,-0.725522987,-0.985819059,-0.778538559,-0.716884087,43476,5488,16.87077998,2.129608071,0.129016942,58.56818182,0.016285881,7658.613636,4.268529298,-0.78550854
Jenny Hansen Lane,17600,841,80,709630,4178,220,843.7931034,40.31988636,10.5125,20.9274673,-0.612195966,-0.925359278,0.411851336,2.008601919,-1.028711073,31177,11070,7.462182863,2.649593107,0.043934163,52.225,0.015599679,8870.375,4.212541886,-0.789265566
